PC1	PC2	group
MP1	0.206104464584214	-0.354913518106804	1
MP2	0.192577145535052	-0.331239690670145	1
MP3	0.231294952040143	-0.354682419870868	1
MP4	0.210207569867913	-0.3166361474403	1
MS1	0.258337947646652	0.125257094056079	2
MS2	0.273463515549588	0.144190548698377	2
MS3	0.261454159408707	0.0309477467732538	2
MS4	0.268289863516255	0.040555288102106	2
SC1	0.128471342920928	-0.180778796061937	3
SC2	0.145786016220064	-0.195123788552117	3
SC3	0.167971212378785	-0.275987965694058	3
SC4	0.170190752527667	-0.295509201040905	3
TP1	0.329675747295387	0.269774391043132	4
TP2	0.333207551896837	0.270954881985243	4
TP3	0.339000727700928	0.249668401839205	4
TP4	0.33364556683631	0.237481478659334	4
