female_family	expression_class	number_of_GFP_kernels	number_of_WT_kernels	exclude_from_final_dataset
420	Mponly	62	80	FALSE
420	Mponly	101	92	FALSE
423	Mponly	83	81	FALSE
423	Mponly	34	36	FALSE
432	Mponly	68	68	FALSE
432	Mponly	94	116	FALSE
432	Mponly	80	102	FALSE
432	Mponly	60	45	FALSE
433	Mponly	101	105	FALSE
433	Mponly	120	100	FALSE
435	Mponly	122	137	FALSE
435	Mponly	260	225	FALSE
435	Mponly	219	217	FALSE
466	Mponly	99	94	FALSE
466	Mponly	53	42	FALSE
466	Mponly	115	118	FALSE
486	Mponly	295	291	FALSE
486	Mponly	276	247	FALSE
486	Mponly	192	209	FALSE
418	MpANDSc	106	97	FALSE
418	MpANDSc	71	53	FALSE
418	MpANDSc	132	111	FALSE
421	MpANDSc	150	191	FALSE
421	MpANDSc	109	117	FALSE
421	MpANDSc	124	129	FALSE
422	MpANDSc	188	173	FALSE
422	MpANDSc	85	89	FALSE
422	MpANDSc	184	197	FALSE
427	MpANDSc	158	157	FALSE
427	MpANDSc	129	135	FALSE
427	MpANDSc	148	181	FALSE
439	MpANDSc	101	88	FALSE
439	MpANDSc	166	149	FALSE
440	MpANDSc	120	120	FALSE
440	MpANDSc	111	103	FALSE
440	MpANDSc	122	123	FALSE
442	MpANDSc	211	238	FALSE
442	MpANDSc	84	90	FALSE
450	MpANDSc	157	196	FALSE
450	MpANDSc	126	103	FALSE
459	MpANDSc	122	112	FALSE
459	MpANDSc	149	104	FALSE
459	MpANDSc	166	139	FALSE
468	MpANDSc	162	155	FALSE
468	MpANDSc	142	152	FALSE
468	MpANDSc	139	161	FALSE
468	MpANDSc	150	152	FALSE
471	MpANDSc	132	131	FALSE
475	MpANDSc	131	124	FALSE
481	MpANDSc	40	32	FALSE
481	MpANDSc	63	67	FALSE
481	MpANDSc	128	149	FALSE
481	MpANDSc	141	143	FALSE
487	MpANDSc	201	217	FALSE
488	MpANDSc	53	52	FALSE
488	MpANDSc	261	252	FALSE
488	MpANDSc	132	126	FALSE
489	MpANDSc	215	230	FALSE
489	MpANDSc	66	67	FALSE
489	MpANDSc	136	146	FALSE
490	MpANDSc	238	244	FALSE
490	MpANDSc	194	182	FALSE
490	MpANDSc	177	198	FALSE
498	MpANDSc	271	233	FALSE
498	MpANDSc	249	205	FALSE
498	MpANDSc	156	172	FALSE
498	MpANDSc	90	117	FALSE
498	MpANDSc	147	140	FALSE
434	Sconly	44	39	FALSE
434	Sconly	87	76	FALSE
434	Sconly	126	163	FALSE
437	Sconly	113	114	FALSE
437	Sconly	199	217	FALSE
437	Sconly	84	69	FALSE
441	Sconly	184	170	FALSE
441	Sconly	149	157	FALSE
441	Sconly	119	128	FALSE
451	Sconly	78	98	FALSE
451	Sconly	139	134	FALSE
451	Sconly	70	69	FALSE
454	Sconly	70	81	FALSE
454	Sconly	104	85	FALSE
474	Sconly	178	185	FALSE
474	Sconly	146	189	FALSE
474	Sconly	96	110	FALSE
491	Sconly	236	272	FALSE
491	Sconly	219	203	FALSE
492	Sconly	277	256	FALSE
492	Sconly	257	279	FALSE
492	Sconly	287	270	FALSE
494	Sconly	242	239	FALSE
494	Sconly	181	177	FALSE
494	Sconly	223	222	FALSE
415	SdMpSc	89	92	FALSE
415	SdMpSc	119	103	FALSE
415	SdMpSc	136	140	FALSE
415	SdMpSc	107	105	FALSE
417	SdMpSc	108	79	FALSE
417	SdMpSc	96	108	FALSE
417	SdMpSc	136	124	FALSE
445	SdMpSc	154	143	FALSE
445	SdMpSc	172	174	FALSE
445	SdMpSc	171	183	FALSE
445	SdMpSc	169	163	FALSE
462	SdMpSc	147	147	FALSE
462	SdMpSc	114	122	FALSE
469	SdMpSc	74	81	FALSE
469	SdMpSc	151	132	FALSE
480	SdMpSc	168	167	FALSE
480	SdMpSc	134	123	FALSE
484	SdMpSc	21	28	FALSE
484	SdMpSc	144	129	FALSE
485	SdMpSc	137	151	FALSE
485	SdMpSc	135	137	FALSE
485	SdMpSc	196	195	FALSE
426	Sdonly	161	182	FALSE
426	Sdonly	82	87	FALSE
429	Sdonly	72	74	FALSE
429	Sdonly	61	72	FALSE
429	Sdonly	157	142	FALSE
447	Sdonly	179	179	FALSE
447	Sdonly	128	129	FALSE
447	Sdonly	145	135	FALSE
456	Sdonly	59	68	FALSE
456	Sdonly	156	146	FALSE
456	Sdonly	73	75	FALSE
458	Sdonly	102	120	FALSE
458	Sdonly	24	25	FALSE
461	Mponly	124	124	FALSE
461	Mponly	178	177	FALSE
461	Mponly	94	137	FALSE
461	Mponly	219	180	FALSE
444	MpANDSc	132	143	FALSE
444	MpANDSc	123	114	FALSE
471	MpANDSc	144	145	FALSE
471	MpANDSc	196	179	FALSE
487	MpANDSc	136	108	FALSE
487	MpANDSc	237	181	FALSE
495	MpANDSc	207	192	FALSE
495	MpANDSc	142	142	FALSE
495	MpANDSc	242	215	FALSE
443	Sconly	181	201	FALSE
443	Sconly	194	174	FALSE
443	Sconly	246	228	FALSE
469	SdMpSc	227	201	FALSE
469	SdMpSc	170	145	FALSE
449	Sdonly	126	135	FALSE
452	Sdonly	185	167	FALSE
452	Sdonly	144	148	FALSE
465	Sdonly	224	221	FALSE
465	Sdonly	168	184	FALSE
467	Sdonly	160	117	FALSE
467	Sdonly	165	173	FALSE
472	Sdonly	199	186	FALSE
472	Sdonly	199	190	FALSE
472	Sdonly	191	211	FALSE
