female_family	male_family	male_rep_number	male_family_number	male_plant_number	date	number_of_GFP_kernels	number_of_WT_kernels	AC_present_in_parent	exclude_from_final_dataset	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	genetic_background	marker	not_HVY	allele	v3_gene	v4_gene
401	420-1	m1	420	1	8/27	261	289	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	420-3	m1	420	3	8/22	204	247	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	420-4	m1	420	4	8/22	202	207	0	FALSE	vegetative_cell_high	43	25	32	1	1	0	R08A07	GRMZM5G845021	Zm00001d048785
401	423-1	m1	423	1	8/27	135	171	1	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m1	423	2	8/24	208	224	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m2	423	2	8/27	255	259	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	423-2	m3	423	2	8/25	318	287	0	FALSE	vegetative_cell_high	23	10	34	1	1	0	R103E04	GRMZM5G878153	Zm00001d034799
402	432-1	m1	432	1	8/22	188	176	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
401	432-2	m1	432	2	8/22	194	188	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
402	432-2	m2	432	2	8/25	183	149	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
402	432-2	m3	432	2	8/24	212	207	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
403	432-5	m1	432	5	8/19	260	269	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
401	432L-3	m1	432	3	8/22	242	235	0	FALSE	vegetative_cell_high	20	6	14	1	1	0	R23D05	GRMZM2G126858	Zm00001d026303
403	433-3	m1	433	3	8/6	268	264	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	433-5	m1	433	5	8/18	109	87	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	433L-2	m1	433	2	9/2	111	135	0	FALSE	vegetative_cell_high	37	14	16	1	1	1	R24D03	GRMZM2G120136	Zm00001d026445
402	433L-2	m2	433	2	9/1	167	183	0	FALSE	vegetative_cell_high	37	14	16	1	1	0	R24D03	GRMZM2G120136	Zm00001d026445
403	435-1	m1	435	1	8/18	148	141	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
401	435-5	m1	435	5	8/21	208	225	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m1	435	2	8/31	124	145	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m2	435	2	8/30	211	183	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
402	435L-2	m3	435	2	9/1	253	315	1	FALSE	vegetative_cell_high	24	17	28	1	1	0	R27E01	GRMZM2G016734	Zm00001d028820
401	466-1	m1	466	1	8/22	234	226	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
400	466-4	m1	466	4	8/28	127	136	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
402	466-5	m1	466	5	8/20	209	216	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
402	466-5	m2	466	5	8/24	278	326	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
