allele	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	v3_gene	v4_gene	total_GFP_kernels	total_WT_kernels	percent_GFP	chi_squared_p_value	sig	FPKM	male_family_number
R106F04	seedling_only	1	3	46	AC217975.3_FG001	Zm00001d022274	700	718	0.493653032440056	0.632645118510993	0	103.9473	426
R12H07	seedling_only	5	4	36	GRMZM2G044882	Zm00001d051110	947	969	0.494258872651357	0.615243540153948	0	37.5026	429
R46C04	seedling_only	2	2	47	GRMZM2G051403	Zm00001d013295	1424	1353	0.512783579402233	0.177877540802839	0	106.187666666667	447
R52B09	seedling_only	6	5	45	GRMZM2G342243	Zm00001d036283	611	650	0.484536082474227	0.272088878472899	0	96.7292666666667	449
R53F11	seedling_only	14	8	48	GRMZM2G127798	Zm00001d035925	669	700	0.488677867056245	0.402121784699465	0	199.537	452
R63F09	seedling_only	17	11	37	GRMZM2G000052	Zm00001d002266	1062	1089	0.493723849372385	0.560457832883536	0	38.2865666666667	456
R65E02	seedling_only	4	1	49	GRMZM2G129209	Zm00001d007228	959	1039	0.47997997997998	0.0734941939864031	0	234.641	458
R76E07	seedling_only	10	12	41	GRMZM2G100288	Zm00001d029047	598	603	0.497918401332223	0.885281373065626	0	49.0259333333333	465
R80E09	seedling_only	7	18	40	GRMZM2G111143	Zm00001d004768	698	724	0.490857946554149	0.490519380486295	0	48.5469666666667	467
R83H05	seedling_only	3	21	44	GRMZM2G007283	Zm00001d005036	853	880	0.492210040392383	0.516608987871479	0	70.2262666666667	472
