allele	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	v3_gene	v4_gene	total_GFP_kernels	total_WT_kernels	percent_GFP	chi_squared_p_value	sig	FPKM	male_family_number
R01G01	vegetative_cell_high	38	23	52	GRMZM2G124434	Zm00001d032950	1008	1075	0.483917426788286	0.142100447267234	0	176.627	415
R02D02	vegetative_cell_high	26	22	39	GRMZM2G006894	Zm00001d026490	515	524	0.495668912415784	0.780081811321948	0	54.9727	417
R04A02	vegetative_cell_high	25	27	3	GRMZM2G359879	Zm00001d028437	896	1148	0.438356164383562	2.4908182580119e-08	1	52.5708	418
R04G10	vegetative_cell_high	28	19	26	GRMZM2G114093	Zm00001d032310	1340	1363	0.49574546799852	0.658207373898447	0	60.916	486
R08A07	vegetative_cell_high	43	25	32	GRMZM5G845021	Zm00001d048785	667	743	0.473049645390071	0.0429732553702129	1	353.673	420
R101B03	vegetative_cell_high	50	51	21	GRMZM2G012263	Zm00001d037061	1235	1231	0.50081103000811	0.935800139364821	0	4371.01	421
R102H01	vegetative_cell_high	48	36	33	GRMZM2G350802	Zm00001d037695	763	914	0.454979129397734	0.000226631415895197	1	2786.36	422
R103E04	vegetative_cell_high	23	10	34	GRMZM5G878153	Zm00001d034799	916	941	0.493268712977921	0.561819088740779	0	35.5349	423
R107C12	vegetative_cell_high	46	34	25	GRMZM2G045278	Zm00001d012382	1662	1777	0.483280023262576	0.0498768323699449	1	885.729	498
R23D05	vegetative_cell_high	20	6	14	GRMZM2G126858	Zm00001d026303	1279	1224	0.510986815821015	0.271619532419391	0	31.1667	432
R24D03	vegetative_cell_high	37	14	16	GRMZM2G120136	Zm00001d026445	655	669	0.494712990936556	0.70041909245695	0	165.028	433
R27E01	vegetative_cell_high	24	17	28	GRMZM2G016734	Zm00001d028820	944	1009	0.483358934971838	0.141337321043857	0	47.4902	435
R31H05	vegetative_cell_high	39	31	13	GRMZM2G136508	Zm00001d025437	957	950	0.501835343471421	0.872647907254426	0	196.9	439
R32B05	vegetative_cell_high	21	29	19	GRMZM2G134054	Zm00001d034839	796	787	0.5028427037271	0.821042042017573	0	32.8555	487
R33F03	vegetative_cell_high	41	26	31	GRMZM2G039583	Zm00001d022250	1053	1343	0.439482470784641	3.13173945932978e-09	1	304.574	440
R34C11	vegetative_cell_high	46	34	25	GRMZM2G045278	Zm00001d012382	1296	1361	0.487768159578472	0.207306239323664	0	885.729	488
R35A08	vegetative_cell_high	36	42	2	GRMZM2G172751	Zm00001d027590	619	665	0.48208722741433	0.199234758025295	0	162	442
R39B06	vegetative_cell_high	47	52	18	GRMZM2G089699	Zm00001d048384	736	706	0.510402219140083	0.429515516111065	0	2409.39	444
R41F01	vegetative_cell_high	35	28	51	GRMZM2G056252	Zm00001d017840	1318	1338	0.496234939759036	0.697960337580328	0	159.129	445
R45E04	vegetative_cell_high	21	29	19	GRMZM2G134054	Zm00001d034839	1199	1199	0.5	1	0	32.8555	489
R49F11	vegetative_cell_high	49	48	7	GRMZM2G012328	Zm00001d003431	1041	1332	0.438685208596713	2.31918219610048e-09	1	4175.48	490
R52E07	vegetative_cell_high	34	41	22	GRMZM5G827174	Zm00001d007845	810	910	0.47093023255814	0.0158995114513141	1	153.004	450
R67C09	vegetative_cell_high	52	50	11	GRMZM2G135570	Zm00001d014731	828	1050	0.440894568690096	3.01073434064558e-07	1	21028.2	459
R69C04	vegetative_cell_high	40	7	6	GRMZM2G307402	Zm00001d036330	678	727	0.482562277580071	0.191128568006386	0	237.793	461
R72D11	vegetative_cell_high	31	9	43	GRMZM2G035243	Zm00001d027856	1115	1122	0.498435404559678	0.882341871965525	0	90.5725	462
R77F09	vegetative_cell_high	22	13	23	GRMZM2G142249	Zm00001d032279	1220	1261	0.49173720274083	0.410431867308133	0	33.3009	466
R81E02	vegetative_cell_high	50	51	21	GRMZM2G012263	Zm00001d037061	1291	1271	0.503903200624512	0.692746662012449	0	4371.01	468
R81G05	vegetative_cell_high	29	16	50	GRMZM5G876898	Zm00001d002258	1325	1260	0.51257253384913	0.201091493242478	0	64.6735	469
R83B04	vegetative_cell_high	30	38	30	GRMZM2G142863	Zm00001d003947	1058	1113	0.487333026255182	0.237837297088009	0	90.3365	471
R88B08	vegetative_cell_high	45	46	12	GRMZM2G018372	Zm00001d041514	968	947	0.505483028720627	0.631310951119065	0	720.42	475
R92A10	vegetative_cell_high	33	15	35	GRMZM2G095206	Zm00001d046483	1210	1098	0.524263431542461	0.0197369927548359	1	132.288	480
R92F08	vegetative_cell_high	42	45	5	GRMZM2G153987	Zm00001d014782	775	945	0.450581395348837	4.14824347308412e-05	1	330.685	481
R96C12	vegetative_cell_high	51	49	8	GRMZM2G082517	Zm00001d015901	686	1639	0.29505376344086	6.04316118159081e-87	1	4427.71	495
R98H09	vegetative_cell_high	44	20	42	GRMZM5G872068	Zm00001d017958	1445	1599	0.474704336399474	0.00525052545806836	1	369.498	484
R99B02	vegetative_cell_high	27	24	38	GRMZM2G102912	Zm00001d015242	1181	1216	0.492699207342511	0.474682300906733	0	56.2152	485
